región,tipodeservicio,ndeinforme,entidad,títulodelinforme,evento,operativo,npersonasconpresuntarespons,tipoderesponsabilidad,fechaemisión,fechaconclusión,fechapublicación,informe,ficharesumen
AMAZONAS,SERVICIO DE CONTROL ESPECÍFICO A HECHOS CON PRESUNTA IRREGULARIDAD,017-2019-2-0328,MUNICIPALIDAD DISTRITAL DE HUANCAS,ADMISIÓN Y CALIFICACIÓN DE OFERTA DE POSTOR PARA EJECUCION DE OBRA,,,4,PENAL ADMINISTRATIVO ENTIDAD,18/11/2019,20/11/2019,28/11/2019,https://s3.amazonaws.com/spic-informes-publicados/informes/2019/11/2019CPO032800032_ADJUNTO.pdf 2019CPO032800032,https://s3.amazonaws.com/spic-informes-publicados/resumen/2019/11/2019CPO032800032.pdf
APURIMAC,SERVICIO DE CONTROL ESPECÍFICO A HECHOS CON PRESUNTA IRREGULARIDAD,017-2019-2-0347,MUNICIPALIDAD PROVINCIAL DE ABANCAY,ADQUISICIÓN DE TERNOS PARA SERVIDORES DE LA ENTIDAD,,,4,PENAL ADMINISTRATIVO ENTIDAD,05/11/2019,05/11/2019,08/11/2019,https://s3.amazonaws.com/spic-informes-publicados/informes/2019/11/2019CPO034700038_ADJUNTO.pdf 2019CPO034700038,https://s3.amazonaws.com/spic-informes-publicados/resumen/2019/11/2019CPO034700038.pdf
AREQUIPA,SERVICIO DE CONTROL ESPECÍFICO A HECHOS CON PRESUNTA IRREGULARIDAD,051-2019-2-0353,MUNICIPALIDAD PROVINCIAL DE AREQUIPA,Servicio de Control Específico a hechos con presunta irregularidad: Pago de incrementos remunerativos y beneficios económicos a funcionarios de confianza de la Municipalidad Provincial de Arequipa,,,13,CIVIL ADMINISTRATIVO ENTIDAD,23/10/2019,24/10/2019,20/11/2019,https://s3.amazonaws.com/spic-informes-publicados/informes/2019/11/2019CPO035300104_ADJUNTO.pdf 2019CPO035300104,https://s3.amazonaws.com/spic-informes-publicados/resumen/2019/11/2019CPO035300104.pdf
AREQUIPA,SERVICIO DE CONTROL ESPECÍFICO A HECHOS CON PRESUNTA IRREGULARIDAD,052-2019-2-0353,MUNICIPALIDAD PROVINCIAL DE AREQUIPA,Servicio de Control Específico a hechos con presunta irregularidad: Adquisición de productos alimenticios para el Programa Nacional Complementario de Asistencia Alimentaria de la Municipalidad Provincial de Arequipa - 2019,,,5,ADMINISTRATIVO ENTIDAD,24/10/2019,24/10/2019,20/11/2019,https://s3.amazonaws.com/spic-informes-publicados/informes/2019/11/2019CPO035300105_ADJUNTO.pdf 2019CPO035300105,https://s3.amazonaws.com/spic-informes-publicados/resumen/2019/11/2019CPO035300105.pdf
AREQUIPA,SERVICIO DE CONTROL ESPECÍFICO A HECHOS CON PRESUNTA IRREGULARIDAD,054-2019-2-0353,MUNICIPALIDAD PROVINCIAL DE AREQUIPA,Servicio de Control Específico a Hechos con Presunta Irregularidad: Designación y aceptación en cargos de confianza de funcionarios públicos.,,,14,PENAL ADMINISTRATIVO ENTIDAD,11/11/2019,12/11/2019,20/11/2019,https://s3.amazonaws.com/spic-informes-publicados/informes/2019/11/2019CPO035300108_ADJUNTO.pdf 2019CPO035300108,https://s3.amazonaws.com/spic-informes-publicados/resumen/2019/11/2019CPO035300108.pdf
AREQUIPA,SERVICIO DE CONTROL ESPECÍFICO A HECHOS CON PRESUNTA IRREGULARIDAD,015-2019-2-0354,MUNICIPALIDAD PROVINCIAL DE CAMANA,Adquisición de productos alimenticios para el Programa Nacional Complementario de Asistencia Alimentaria de la Municipalidad Provincial de Camaná - 2019,,,5,ADMINISTRATIVO ENTIDAD,02/10/2019,10/10/2019,20/11/2019,https://s3.amazonaws.com/spic-informes-publicados/informes/2019/11/2019CPO035400043_ADJUNTO.pdf 2019CPO035400043,https://s3.amazonaws.com/spic-informes-publicados/resumen/2019/11/2019CPO035400043.pdf
AREQUIPA,SERVICIO DE CONTROL ESPECÍFICO A HECHOS CON PRESUNTA IRREGULARIDAD,026-2019-2-0354,MUNICIPALIDAD PROVINCIAL DE ISLAY,"Adquisición de productos alimenticios para el Programa Nacional Complementario de Asistencia Alimentaria, de la Municipalidad Provincial de Islay - 2019.",,,6,ADMINISTRATIVO ENTIDAD,11/11/2019,11/11/2019,28/11/2019,https://s3.amazonaws.com/spic-informes-publicados/informes/2019/11/2019CPO035400048_ADJUNTO.pdf 2019CPO035400048,https://s3.amazonaws.com/spic-informes-publicados/resumen/2019/11/2019CPO035400048.pdf
AREQUIPA,SERVICIO DE CONTROL ESPECÍFICO A HECHOS CON PRESUNTA IRREGULARIDAD,016-2019-2-0355,MUNICIPALIDAD PROVINCIAL DE CARAVELI,"Pagos por concepto de escolaridad, aguinaldos y otros a favor de funcionarios y servidores públicos.",,,9,CIVIL ADMINISTRATIVO ENTIDAD,07/11/2019,12/11/2019,28/11/2019,https://s3.amazonaws.com/spic-informes-publicados/informes/2019/11/2019CPO035500039_ADJUNTO.pdf 2019CPO035500039,https://s3.amazonaws.com/spic-informes-publicados/resumen/2019/11/2019CPO035500039.pdf
AREQUIPA,SERVICIO DE CONTROL ESPECÍFICO A HECHOS CON PRESUNTA IRREGULARIDAD,024-2019-2-0356,MUNICIPALIDAD PROVINCIAL DE CASTILLA,Servicio de Control Específico a hechos con presunta irregularidad: Adquisición de productos alimenticios para el Programa Nacional Complementario de Asistencia Alimentaria de la Municipalidad Provincial de Castilla - 2019,,,4,ADMINISTRATIVO ENTIDAD,01/10/2019,01/10/2019,20/11/2019,https://s3.amazonaws.com/spic-informes-publicados/informes/2019/11/2019CPO035600039_ADJUNTO.pdf 2019CPO035600039,https://s3.amazonaws.com/spic-informes-publicados/resumen/2019/11/2019CPO035600039.pdf
AREQUIPA,SERVICIO DE CONTROL ESPECÍFICO A HECHOS CON PRESUNTA IRREGULARIDAD,014-2019-2-0357,MUNICIPALIDAD PROVINCIAL DE CAYLLOMA,Adquisición de productos alimenticios para el Programa Nacional Complementario de Asistencia Alimentaria de la Municipalidad Provincial de Caylloma - 2019,,,6,ADMINISTRATIVO ENTIDAD,11/10/2019,18/10/2019,20/11/2019,https://s3.amazonaws.com/spic-informes-publicados/informes/2019/11/2019CPO035700043_ADJUNTO.pdf 2019CPO035700043,https://s3.amazonaws.com/spic-informes-publicados/resumen/2019/11/2019CPO035700043.pdf
AREQUIPA,SERVICIO DE CONTROL ESPECÍFICO A HECHOS CON PRESUNTA IRREGULARIDAD,011-2019-2-0358,MUNICIPALIDAD PROVINCIAL DE CONDESUYOS,Adquisición de productos alimenticios para el Programa Nacional Complementario de Asistencia Alimentaria de la Municipalidad Provincial de Condesuyos - 2019,,,4,ADMINISTRATIVO ENTIDAD,07/10/2019,07/10/2019,20/11/2019,https://s3.amazonaws.com/spic-informes-publicados/informes/2019/11/2019CPO035800025_ADJUNTO.pdf 2019CPO035800025,https://s3.amazonaws.com/spic-informes-publicados/resumen/2019/11/2019CPO035800025.pdf
