ruc_proveedor,ruc_nombre,tipo_inscripcion,nombre_comercial,fecha_inscripcion,estado_contribuyente,condicion_contribuyente,direccion,actividades
20100010136,COSMOS AGENCIA MARITIMA SAC,SOCIEDAD ANONIMA CERRADA,COSMOS AGENCIA MARITIMA S A C,09/10/1992,ACTIVO,HABIDO,JR. MARISCAL MILLER NRO. 450 INT. 901 PROV. CONST. DEL CALLAO - PROV. CONST. DEL CALLAO - CALLAO,PRINCIPAL - 5222 - ACTIVIDADES DE SERVICIOS VINCULADAS AL TRANSPORTE ACUATICO
20100022142,ABB S.A.,SOCIEDAD ANONIMA,ABB,09/10/1992,ACTIVO,HABIDO,AV. JAVIER PRADO ESTE NRO. 444 INT. 601 URB. JARDIN LIMA - LIMA - SAN ISIDRO,PRINCIPAL - 2610 - FABRICACION DE COMPONENTES Y TABLEROS ELECTRONICOS
20100027021,UNIMAQ S.A.,SOCIEDAD ANONIMA,UNIMAQ S.A.,09/10/1992,ACTIVO,HABIDO,CAL.SANTA INES NRO. 270 Z.I. SANTA ROSA (ALT.CUADRA 19 AV. EVITAMIENTO) LIMA - LIMA - ATE,PRINCIPAL - 4659 - VENTA AL POR MAYOR DE OTROS TIPOS DE MAQUINARIA Y EQUIPO
20100202396,AUTRISA AUTOMOTRIZ ANDINA S.A.,SOCIEDAD ANONIMA,AUTRISA,18/01/1993,ACTIVO,HABIDO,AV. PARRA NRO. 122 URB. VALLECITO AREQUIPA - AREQUIPA - AREQUIPA,PRINCIPAL - 4730 - VENTA AL POR MENOR DE COMBUSTIBLES PARA VEHICULOS AUTOMOTORES EN COMERCIOS ESPECIALIZADOS
20100218551,POSTES AREQUIPA S A,SOCIEDAD ANONIMA,PASA,18/01/1993,ACTIVO,HABIDO,NRO. 42 RES. C.C. CAYMA AREQUIPA - AREQUIPA - CAYMA,"PRINCIPAL - 2395 - FABRICACION DE ARTICULOS DE HORMIGON, CEMENTO Y YESO"
20100241022,ACEROS COMERCIALES S C R L,SOC.COM.RESPONS. LTDA,ACEROS COMERCIALES S.C.R.L.,06/02/1995,ACTIVO,HABIDO,VIA.VARIANTE DE UCHUMAYO KM. 4 (FRENTE DE LADRILLERIAS DIAMANTE) AREQUIPA - AREQUIPA - CERRO COLORADO,PRINCIPAL - 4923 - TRANSPORTE DE CARGA POR CARRETERA
20100331528,DORICH & WATKIN S.A.C,SOCIEDAD ANONIMA CERRADA,DOWAT,27/01/1993,ACTIVO,HABIDO,JR. ATAHUALPA NRO. 158 URB. SAN IGNACIO (OVALO BALTA- BARRANCO) LIMA - LIMA - BARRANCO,PRINCIPAL - 4690 - VENTA AL POR MAYOR NO ESPECIALIZADA
20100349061,OMNIA MEDICA SOCIEDAD ANONIMA CERRADA,SOCIEDAD ANONIMA,OMNIA MEDICA S A C,27/01/1993,ACTIVO,HABIDO,JR. MARISCAL LA MAR NRO. 991 (EX. UGARTE Y MOSCOSO - PISO 3) LIMA - LIMA - MAGDALENA DEL MAR,PRINCIPAL - 8690 - OTRAS ACTIVIDADES DE ATENCION DE LA SALUD HUMANA
20100356270,CUMBRA INGENIERIA S.A.,SOCIEDAD ANONIMA,CUMBRA INGENIERIA S.A.,27/01/1993,ACTIVO,HABIDO,AV. PETIT THOUARS NRO. 4957 INT. 501 (PISO 5) LIMA - LIMA - MIRAFLORES,PRINCIPAL - 7110 - ACTIVIDADES DE ARQUITECTURA E INGENIERIA Y ACTIVIDADES CONEXAS DE CONSULTORIA TECNICA
20100938139,INTRAMEDICA S.A.C.,SOCIEDAD ANONIMA CERRADA,INTRAMEDICA S.A.C,27/01/1993,ACTIVO,HABIDO,CAL.LOS ANTARES NRO. 320 INT. 906 URB. ALBORADA (CENTRO EMPRESARIAL NUEVO TRIGAL TORRE B) LIMA - LIMA - SANTIAGO DE SURCO,PRINCIPAL - 4719 - OTRAS ACTIVIDADES DE VENTA AL POR MENOR EN COMERCIOS NO ESPECIALIZADOS
