nombre,n_informes,region
JORGE LUIS MASIAS URIOSTE,0,cusco
NANCY HUACAC GUZMAN,0,cusco
EDGAR JERI CARRASCO,0,cusco
VILMA FRANCISCA MAMANI DIAZ,1,cusco
JULIO PACCO SENCIA,0,cusco
LUIS ANTONIO MANYA AQQUEHUA,0,cusco
JOSE LUIS CAMARA TELLO,0,cusco
JORGE ALEJANDRO VIDAL AYLLON,1,cusco
NAY RUTH CONDORI LAZO,1,cusco
ANGEL BORIS SANCHEZ BACA,0,cusco
JHENDELYD PUMACAJIA CORNEJO,0,cusco
JULIO CESAR CONDEMAYTA QUISPE,0,cusco
DAVID H BELTRAN GODOY,0,cusco
JUVENAL HERRERA VILLAVICENCIA,0,cusco
NATANAEL ARCE AYBAR,0,cusco
OSCAR FLORES BOZA,0,cusco
WILFREDO VALENCIA TAPIA,0,cusco
CARLOS SALDIVAR ARREDONDO,0,cusco
WILLY ALEJANDRO ALVARADO PALACIOS,1,cusco
LUZ MARLENY LUQUE IBARRA,0,cusco
FREDY YUPANQUI HUILLCA,0,cusco
GLADIS CHUMBISLLA CALDERON,0,cusco
ALBERTO AGUILAR ESQUIVEL,2,cusco
MARCELINO MENDOZA VELAZQUES,0,cusco
ELOY ANDRES SAMATA MOJO,1,cusco
VICTOR ISAAC VIVANCO CORDOVA,0,cusco
SANTIAGO SIERRA DIAZ,1,cusco
LEONARDO ROLDAN LOPEZ,0,cusco
URIEL BARDALES CARDENAS,0,cusco
ELIANA RODRIGUEZ VILLEGAS,0,cusco
JOHNNY MANUEL LOPEZ ARONI,1,cusco
RAUL CONTRERAS MONGE,1,cusco
JULIO ZAVALETA CHARCA,0,cusco
CESAR MEDINA LAURA,5,cusco
JUAN CANCIO AGUILAR GONZALO,0,cusco
MARIO JUNIOR VALER CCORAHUA,0,cusco
CHRISTIAN JOEL CAMACHO PEREZ,0,cusco
AMELIA AYDE ARAUJO MAMANI,0,cusco
ALFREDO SALINAS RIVEROS,0,cusco
MARIA ANTONIETA AVILES SANCHEZ,0,cusco
NICOLAS OSORIO ORDONEZ,1,cusco
JORGE FRANCISCO MUNIZ CONDORI,0,cusco
WILFREDO PALOMINO HUAMAN,9,cusco
ROCIO MARLENY GUILLEN PEREZ,0,cusco
MARCELINO MENDOZA VELASQUEZ,1,cusco
ELIZABETH MAMANI HERRERA,0,cusco
NILO QUISPE CCAICURI,1,cusco
YANET TOLEDO TUPAC YUPANQUI,0,cusco
FRANCISCO AMARU ESPIRILLA,0,cusco
HENRRY MARTINEZ VILCA,0,cusco
JULIO ALEJANDRO RAMOS MAMANI,2,cusco
SARA SANCHEZ MONTESINOS,0,cusco
ROY FRED APAZA GUTIERREZ,3,cusco
HILARIO HUAMAN CURASCO,1,cusco
WALTER GUEVARA LIMA,4,cusco
FRANKLIN PEREZRUIBAL RODRIGUEZ,0,cusco
LUIS OMAR LUNA OSORIO,1,cusco
TIMOTEO SANCHEZ HUALLPA,0,cusco
YURITZA MUNOZ NOLASCO,0,cusco
ROBERT JOHN TAPARA ENRIQUEZ,0,cusco
WILINTHON GABRIEL TACO MITTANI,0,cusco
RODOLFO TACURI MERMA,0,cusco
DELMIRO MELLADO VARGAS,2,cusco
PERCY MARCELINO VILLEGAS UGARTE,0,cusco
PAUL IRWIN CASTRO ORTIZ,0,cusco
RHACELY CHALCO MUNOZ,0,cusco
JULIO CONDORI COLQUE,3,cusco
MARIA MILAGROS OLAZABAL RODRIGUEZ,0,cusco
MAGNOLIA ROSARIO DURAND GALINDO,0,cusco
JOSE ANTONIO CCAHUNA BECERRA,0,cusco
MARIELA MEJIA HUAMANTICA,0,cusco
PERCY MAMANI HUAYTA,1,cusco
RUDI ALAIN NIETO SEGURA,0,cusco
KAROL MADUENO VASQUEZ,0,cusco
AVELINO PUCO CHACON,0,cusco
CLEBER YABAR TOLEDO,0,cusco
ABRAHAN JONATTAN AZURIN CASTILLO,0,cusco
JLINNER REMO CANDIA GUEVARA,0,cusco
IRWIN DEYVIS OVIEDO CUNO,0,cusco
NELSON ALVAREZ CHAINA,0,cusco
JOSE ARMANDO CASTRO MENA,1,cusco
NESTOR CCAHUANA CONDORI,0,cusco
JUVENAL AMAO HALANOCCA,0,cusco
JOSE HERNAN CCAHUAHUIA HUILLCA,0,cusco
NOE RUIZ CASAFRANCA CCAHUAYA,1,cusco
ANGELA ROXANA ESPINOZA ACURIO,0,cusco
ELOY HUILLCA HUILLCA,0,cusco
RENE TAYME ORCON,1,cusco
FLOR DE MARIA QUISPE RODRIGUEZ,1,cusco
JIMMY RIOS YEPEZ,0,cusco
MELQUEADES BERROCAL ARANGO,0,cusco
WILLY DURAND VERA,0,cusco
VICTOR RAUL LAZARO MEZA,1,cusco
REYNALDO ABARCA ORTIZ,0,cusco
FREDY VALENCIA CHIRINOS,0,cusco
ELAVIO PUMA PACHECO,0,cusco
MANUEL OCTAVIO ROMERO MEJIA,1,cusco
WILLIAN AUCCAPUMA CONDE,0,cusco
JEISON NAHUAMEL USCAMAYTA,0,cusco
ERLA LIBETH HUMAN PUMA,0,cusco
CELINA CONDORI SEQUEIROS,0,cusco
RURICK DIAZ BORDA,1,cusco
EDWIN PAUCAS TOMAYQUISPE,1,cusco
ERLA LIZBETH HUAMAN PUMA,0,cusco
NESTOR ANDRES BUSTAMANTE CALDERON,1,cusco
YEIZON FRISHEL LUNA OVIEDO,2,cusco
JORGE LUIS UGARTE BARRIONUEVO,0,cusco
HIDA BAUTISTA PARAVECINO,0,cusco
YESENIA CRUZ FARFAN,0,cusco
GIANINA A ANDY JIMENEZ,0,cusco
WALTER EGMIDIO SANCHEZ SANCHEZ,0,cusco
WALTER OSCAR BIZARRO FLORES,1,cusco
LIBIA CHAMPI NOA,0,cusco
HENRY GARCIA CCASA,1,cusco
OSWALDO TERRAZAS BENITO,1,cusco
RUTH JIBAJA SOTOMAYOR,2,cusco
DUNKER ARTURO ALVAREZ MEDINA,0,cusco
ELIZABETH FLORA VALDIVIA CABALLERO,0,cusco
DAVID LUCIANO CASTRO CACERES,0,cusco
ALEX CLEMENTE QUISPE RAMOS,0,cusco
LIMBERTH LUCIO ROCA SURCO,0,cusco
JAIME HUAMAN PEREZ,9,cusco
CESAR TOMAYLLA AROSTEGUI,0,cusco
FRUCTUOSO CHINO MAMANI,0,cusco
FEDERICO HUAMAN TAPARA,0,cusco
ALBERTO PAREJA QUISPE,1,cusco
PEDRO FERNANDEZ BACA GUZMAN,0,cusco
BETYA CASTRO FLORES,0,cusco
DAVID HUAMAN QUISPE,1,cusco
PERCY ANAHUE BERNA,0,cusco
JHENDELYD OFELIA PUMACAJIA CORNEJO,0,cusco
LUZ NADIA HUISA CUITO,0,cusco
JESUS EMILIO HERRERA SALAS,0,cusco
