region,cui,nombre_pip,monto_inversion,monto_actualizado,fecha_ultimamodificacion
cusco,2018058,IRRIGACION SAMBOR,"S/. 20,652,795.00","S/. 38,503,689.46",05/08/2019 04:02:50 p.m.
cusco,2021464,RESTAURACION Y PUESTA EN VALOR DEL MONUMENTO HISTORICO ARTISTICO TEMPLO DE SANTO TOMAS,"S/. 1,200,000.00","S/. 8,786,114.22",23/12/2021 07:32:10 p.m.
cusco,2022722,MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO DE LA CIUDAD DE QUILLABAMBA,"S/. 18,278,862.00","S/. 25,010,163.83",18/01/2022 06:29:56 p.m.
cusco,2023133,CONSTRUCCION DE VIVIENDA ESTUDIANTIL - UNSAAC,"S/. 4,784,801.00","S/. 21,333,939.35",27/01/2022 02:30:56 p.m.
cusco,2029124,RESTAURACIÓN Y PUESTA EN VALOR MONUMENTO HISTÓRICO ARTÍSTICO TEMPLO SAN JUAN BAUTISTA DE COPORAQUE,"S/. 1,119,026.00","S/. 8,009,029.85",04/11/2019 03:49:01 p.m.
cusco,2030637,MEJORAMIENTO INFRAESTRUCTURA C.E. Nº 50227 - SAN FRANCISCO JAVIER - QUILLABAMBA,"S/. 561,780.00","S/. 6,197,913.16",12/01/2022 10:57:13 a.m.
cusco,2032886,"MEJORAMIENTO DE LOS SERVICIOS DE EDUCACION PRIMARIA EN LA I.E. N 501088 DE ALTO KIMARIATO, DISTRITO DE ECHARATE - LA CONVENCION - CUSCO","S/. 2,918,340.00",S/. 0.00,
cusco,2038605,SUSTITUCION DE AULAS Y CONSTRUCCION DE SERVICIOS COMPLEMENTARIOS DE LA INST EDUC INICIAL JARDIN DE NIOS MIRAFLORES N 561 DEL DISTRITO DE SICUANI,"S/. 121,005.00",S/. 0.00,
cusco,2040388,CONSTRUCCIÓN DE PISTAS Y VEREDAS EN EL CIRCUITO VIAL SAQSA QHATA -SAN SEBASTIAN-CUSCO,"S/. 1,552,629.00","S/. 1,968,322.40",
cusco,2043380,"AMPLIACION Y MEJORAMIENTO DE LOS SISTEMAS DE AGUA POTABLE, ALCANTARILLADO Y CONSTRUCCION DE PLANTA DE TRATAMIENTO DE AGUAS SERVIDAS EN LA LOCALIDAD DE PAUCARTAMBO","S/. 3,318,423.00","S/. 4,308,546.18",16/08/2019 07:49:06 p.m.
cusco,2044413,RESTAURACION Y PUESTA EN VALOR DEL MONUMENTO HISTORICO ARTISTICO TEMPLO SANTISIMA TRINIDAD DE MISCA,"S/. 652,268.00","S/. 652,268.00",02/03/2021 08:31:11 a.m.
cusco,2044573,ADECUACION E IMPLEMENTACION DEL MUSEO DE QESPIWANKA - URUBAMBA,"S/. 574,042.00","S/. 1,557,249.99",30/09/2021 08:40:59 p.m.
cusco,2044997,RESTAURACION Y PUESTA EN VALOR DEL MONUMENTO HISTORICO ARTISTICO TEMPLO SAN PEDRO DE CACHA - CANCHIS,"S/. 1,056,942.00","S/. 2,716,167.20",23/12/2021 07:43:20 p.m.
cusco,2045335,"INSTALACION DEL SISTEMA DE RIEGO  EN EL SECTOR DE SANGOBATEA, KITENI, DISTRITO DE ECHARATE - LA CONVENCION - CUSCO","S/. 5,833,651.00","S/. 6,310,702.40",
cusco,2046089,"MEJORAMIENTO DE LA INFRAESTRUCTURA DE RIEGO MAYOR PALLALLAJE EN LAS COMUNIDADES CAMPESINAS DE URINSAYA Y QUEROCCOLLANA, DISTRITO COPORAQUE, PROVINCIA ESPINAR","S/. 46,972,036.00","S/. 69,945,947.50",14/02/2021 07:18:49 p.m.
cusco,2046738,"AMPLIACION DEL SISTEMA ELECTRICO RAMOSPATA-YURACMAYO, DISTRITO DE MARANURA - LA CONVENCION - CUSCO","S/. 133,156.00","S/. 283,368.02",
cusco,2052730,"CONSTRUCCION DE PISTAS Y VEREDAS DE LA CALLE CUSCO EN LOS PP.JJ PRIMERO DE ENERO TIOBAMBA Y CHOCCO, DISTRITO DE SANTIAGO - CUSCO - CUSCO","S/. 1,278,263.00","S/. 1,404,582.44",
cusco,2052958,"MEJORAMIENTO DE LA INFRAESTRUCTURA Y EQUIPAMIENTO DEL CENTRO DE SALUD MARANURA  MICRO RED MARANURA, RED DE SERVICIOS DE SALUD LA CONVENCION,, DISTRITO DE MARANURA - LA CONVENCION - CUSCO","S/. 2,788,675.00","S/. 5,393,538.23",
cusco,2055216,"ADQUISICION DE TERRENO, CONSTRUCCION Y EQUIPAMIENTO PARA EL LABORATORIO PEDAGOGICO DE APLICACION FORTUNATO L. HERRERA -FACULTAD DE EDUCACION-UNSAAC","S/. 5,096,993.00","S/. 5,400,392.93",22/09/2021 12:04:56 p.m.
cusco,2055944,"FORTALECIMIENTO DE CAPACIDADES EN LAS AREAS DE INFORMATICA, DEPORTES Y CULTURA EN LOS COLEGIOS DEL ,, DISTRITO DE MARANURA - LA CONVENCION - CUSCO","S/. 1,143,128.00","S/. 1,240,305.00",06/12/2019 10:19:34 a.m.
cusco,2057406,"AMPLIACION Y MEJORAMIENTO DEL SISTEMA DE AGUA Y ALCANTARILLADO DE LA CIUDAD DE SANTO TOMAS DE CHUMBIVILCAS, PROVINCIA DE CHUMBIVILCAS - CUSCO","S/. 10,760,516.00","S/. 30,283,006.04",06/01/2022 03:58:48 p.m.
cusco,2057631,RESTAURACION Y PUESTA EN VALOR DEL MONUMENTO HISTORICO ARTISTICO CAPILLA DE SAN ANTONIO DE PADUA DE TAHUAY,"S/. 504,056.00","S/. 1,064,167.21",03/12/2018 12:57:46 p.m.
cusco,2059746,RESTAURACION Y PUESTA EN VALOR DEL MONUMENTO HISTORICO ARTISTICO IGLESIA NUESTRA SEÑORA DE COCHARCAS,"S/. 3,867,800.00","S/. 13,833,735.14",20/09/2019 05:44:03 p.m.
cusco,2059999,MEJORAMIENTO  DE LA PRESTACION DEL SERVICIO DE SALUD DEL ESTABLECIMIENTO DE SALUD LIVITACA DE LA MR YANAOCA-RED DE SALUD CANAS CANCHIS ESPINAR-DIRESA CUSCO,"S/. 4,477,083.00","S/. 6,711,759.38",29/09/2021 09:16:10 a.m.
cusco,2060229,RESTAURACION Y PUESTA EN VALOR DEL MONUMENTO HISTORICO ARTISTICO IGLESIA DE CAYPE,"S/. 2,010,000.00","S/. 5,237,662.94",30/09/2021 01:06:01 p.m.
cusco,2060646,RESTAURACION Y PUESTA EN VALOR DEL SECTOR CHINCANA GRANDE QOCHA,"S/. 2,114,265.00","S/. 2,114,265.01",02/03/2021 08:34:33 a.m.
cusco,2060673,"CONSTRUCCION DEL MERCADO DE PRODUCTORES SANTA ANITA, DISTRITO DE SANTO TOMAS, PROVINCIA DE CHUMBIVILCAS - CUSCO","S/. 5,389,571.00","S/. 5,651,163.39",18/04/2016 02:25:07 p.m.
cusco,2061336,"MEJORAMIENTO DE LA INFRAESTRUCTURA DEL PUESTO DE SALUD  DE SANTA MARIA, DISTRITO DE MARANURA - LA CONVENCION - CUSCO","S/. 596,972.00","S/. 988,236.19",
cusco,2063039,MEJORAR LA ATENCION DE LOS SERVICIOS COMUNITARIOS DE JUSTICIA A LAS MUJERES CAMPESINAS VICTIMAS DE VIOLENCIA EN AMBITOS RURALES PRIORIZADOS DE LA REGION CUSCO,"S/. 4,229,143.00","S/. 4,756,697.24",29/09/2021 12:14:59 p.m.
cusco,2063043,"MEJORAMIENTO DE LA INFRAESTRUCTURA DE LA I.E. DE NIVEL PRIMARIO 50252 MANDOR, DISTRITO DE MARANURA - LA CONVENCION - CUSCO","S/. 422,269.00","S/. 684,565.20",
cusco,2063170,"MEJORAMIENTO DE LA ALAMEDA  CAMINO REAL DEL DISTRITO DE SANTIAGO, PROVINCIA DE CUSCO - CUSCO","S/. 3,250,905.00","S/. 3,191,479.47",26/09/2021 05:53:19 p.m.
cusco,2063421,"MEJORAMIENTO DE LA INFRAESTRUCTURA Y SERVICIOS COMPLEMENTARIOS DE LA I.E. DE NIVEL SECUNDARIO MICAELA BASTIDAS  EN EL CENTRO POBLADO DEL, DISTRITO DE MARANURA - LA CONVENCION - CUSCO","S/. 565,146.00","S/. 1,289,681.55",
cusco,2064021,REMODELACIÓN Y MODERNIZACIÓN DEL MUSEO DE SITIO DE CHINCHERO,"S/. 288,947.00","S/. 909,097.79",
cusco,2064230,"CONSTRUCCION COMPLEJO DEPORTIVO TUPAC AMARU EN LA URBANIZACION TUPAC AMARU DEL, DISTRITO DE SAN SEBASTIAN - CUSCO - CUSCO","S/. 4,631,634.00","S/. 5,405,819.76",
