codigo_unico,snip,fecha_registro,nombre_inversion,estado,tipo_inversion,programa_pmi,ompi,uf,uei,situacion,decreto_emergencia,cadena_funcional,viabilidad_aprobacion,costo_aprobado,beneficiarios,expediente_tecnico,reg_seguimiento,inicio_ejecucion,fin_ejecucion,inversion_actualizado,sol_controversias,carta_fianza,inver_total,costo_inversion,devengado_acumulado,avance_financiero_acum,saldo,fecha_primerdevengado,fecha_ultimodevengado,seaceobra,seaceconsul,seacebien,seaceserv
2397901,2397901,19/10/2017,"MEJORAMIENTO DEL MINICOMPLEJO DEPORTIVO DE LOS CENTROS POBLADOS DE CHOQUE, CAYCHIHUI BARRACA, NUEVA, DEL DISTRITO DE HUEPETUHE, PROVINCIA DEL MANU, REGION MADRE DE DIOS",ACTIVO,PROYECTO DE INVERSION,SI,OPMI DE LA MUNICIPALIDAD PROVINCIAL DE MANU,UF DE LA MUNICIPALIDAD PROVINCIAL DE MANU,UEI DE LA MUNICIPALIDAD PROVINCIAL DE MANU,VIABLE,NO,CULTURA Y DEPORTE - DEPORTES - INFRAESTRUCTURA DEPORTIVA Y RECREATIVA,20/10/2017,"1,878,117.00","1,739",NO,SI,01/01/2018,01/04/2018,"1,878,117.00",0.0,0.0,"1,878,117.00","1,878,117.00","836,331.4",44.5 %,"1,041,785.6",ABR-2018,FEB-2020,,,,
2398522,2398522,30/10/2017,CREACION DE LA LOZA DEPORTIVA EN EL CENTRO POBLADO DE GAMITANA - DISTRITO DE MANU - PROVINCIA DE MANU - REGIÓN MADRE DE DIOS,ACTIVO,PROYECTO DE INVERSION,NO,OPMI DE LA MUNICIPALIDAD PROVINCIAL DE MANU,UF DE LA MUNICIPALIDAD PROVINCIAL DE MANU,UEI DE LA MUNICIPALIDAD PROVINCIAL DE MANU,VIABLE,NO,CULTURA Y DEPORTE - DEPORTES - INFRAESTRUCTURA DEPORTIVA Y RECREATIVA,06/11/2017,"566,295.00",245,NO,NO,01/01/2018,01/04/2018,"566,295.00",0.0,0.0,"566,295.00","566,295.00","246,763.17",43.6 %,"319,531.82",DIC-2017,DIC-2018,,,,
2398934,2398934,06/11/2017,CREACION DE LA LOZA DEPORTIVA EN EL CENTRO POBLADO DE SHINTUYA - DISTRITO DE MANU - PROVINCIA DE MANU - REGIÓN MADRE DE DIOS,ACTIVO,PROYECTO DE INVERSION,NO,OPMI DE LA MUNICIPALIDAD PROVINCIAL DE MANU,UF DE LA MUNICIPALIDAD PROVINCIAL DE MANU,UEI DE LA MUNICIPALIDAD PROVINCIAL DE MANU,VIABLE,NO,CULTURA Y DEPORTE - DEPORTES - INFRAESTRUCTURA DEPORTIVA Y RECREATIVA,06/11/2017,"564,081.00",205,SI,SI,01/10/2019,31/01/2022,"880,734.94",0.0,0.0,"880,734.94","880,734.94","797,851.89",90.6 %,"82,883.04",JUN-2019,DIC-2021,,,"1ADQUISICION DE CEMENTO PORTLAND PUZOLANICO TIPO IP X 42.50 kgCOMERCIAL B & R SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA-COMERCIAL B & R S.R.L.30-201924/12/201962,978.0062,978.00",
2400530,2400530,23/11/2017,CREACION SISTEMA DE AGUA POTABLE Y SANEAMIENTO RURAL DE CC.NN. SANTA TERESITA DISTRITO DE TAMBOPATA - PROVINCIA DE TAMBOPATA - REGIÓN MADRE DE DIOS,ACTIVO,PROYECTO DE INVERSION,SI,OPMI DE LA MUNICIPALIDAD PROVINCIAL DE TAMBOPATA,UF DE LA MUNICIPALIDAD PROVINCIAL DE TAMBOPATA,UEI DE LA MUNICIPALIDAD PROVINCIAL DE TAMBOPATA,VIABLE,NO,SANEAMIENTO - SANEAMIENTO - SANEAMIENTO RURAL,15/12/2017,"1,312,260.21",126,NO,SI,01/04/2018,01/06/2018,"1,442,233.26",0.0,0.0,"1,442,233.26","1,442,233.26","109,425.00",7.6 %,"1,332,808.26",OCT-2020,OCT-2020,,"1SERVICIO DE CONSULTORÍA PARA LA ELABORACIÓN DEL EXPEDIENTE TÉCNICO DEL PROYECTO ¿CREACIÓN SISTEMA DE AGUA POTABLE Y SANEAMIENTO RURAL DE CC.NN. SANTA TERESITA DISTRITO DE TAMBOPATA-PROVINCIA DE TAMBOPATA-REGIÓN MADRE DE DIOSSAGITARIO CONTRATISTAS GENERALES SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADACONTRATO N° 009-2019-MPT-GM24/05/2019109,425.00109,425.00",,
2400533,2400533,23/11/2017,MEJORAMIENTO SERVICIO DE AGUA POTABLE Y SANEAMIENTO CENTRO POBLADO DE EL PILAR - DISTRITO DE TAMBOPATA - PROVINCIA DE TAMBOPATA - REGIÓN MADRE DE DIOS,ACTIVO,PROYECTO DE INVERSION,SI,OPMI DE LA MUNICIPALIDAD PROVINCIAL DE TAMBOPATA,UF DE LA MUNICIPALIDAD PROVINCIAL DE TAMBOPATA,UEI DE LA MUNICIPALIDAD PROVINCIAL DE TAMBOPATA,VIABLE,NO,SANEAMIENTO - SANEAMIENTO - SANEAMIENTO RURAL,22/01/2018,"1,176,661.00",201,NO,NO,01/08/2018,01/11/2018,"1,231,939.44",0.0,0.0,"1,231,939.44","1,231,939.44","75,581.00",6.1 %,"1,156,358.44",OCT-2020,OCT-2020,,"1SERVICIO DE CONSULTORÍA PARA LA ELABORACIÓN DEL EXPEDIENTE TÉCNICO DEL PROYECTO ¿CREACIÓN DEL SISTEMA DE AGUA POTABLE Y SANEAMIENTO RURAL DE CC.NN. EL PILAR, DISTRITO DE TAMBOPATA, PROVINCIA DE TAMBOPATA-REGIÓN MADRE DE DIOSSAGITARIO CONTRATISTAS GENERALES SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADACONTRATO N° 008-2019-MPT-GM24/05/201975,581.0075,581.00",,
2401053,306519,29/10/2014,"MEJORAMIENTO Y AMPLIACIÓN DE SEIS INSTITUCIONES EDUCATIVAS DEL NIVEL INICIAL UBICADAS EN EL DISTRITO DE TAMBOPATA, PROVINCIA DE TAMBOPATA - MADRE DE DIOS",ACTIVO,PROYECTO DE INVERSION,SI,OPMI DE LA MUNICIPALIDAD PROVINCIAL DE TAMBOPATA,UF DE LA MUNICIPALIDAD PROVINCIAL DE TAMBOPATA,UEI DE LA MUNICIPALIDAD PROVINCIAL DE TAMBOPATA,VIABLE,NO,EDUCACIÓN - EDUCACIÓN BÁSICA - EDUCACIÓN INICIAL,18/09/2015,"15,022,875.00","5,791",NO,NO,,,"15,022,875.00",0.0,0.0,"15,022,875.00","15,022,875.00","314,700.55",2.1 %,"14,708,174.45",MAR-2019,OCT-2021,,,,
2406066,2406066,29/01/2018,CREACION DEL SERVICIO DE GUA POTABLE Y SANEAMIENTO EN EL KOTSIMBA - DISTRITO DE INAMBARI - PROVINCIA DE TAMBOPATA - DEPARTAMENTO DE MADRE DE DIOS,ACTIVO,PROYECTO DE INVERSION,SI,OPMI DE LA MUNICIPALIDAD PROVINCIAL DE TAMBOPATA,UF DE LA MUNICIPALIDAD PROVINCIAL DE TAMBOPATA,UEI DE LA MUNICIPALIDAD PROVINCIAL DE TAMBOPATA,VIABLE,NO,SANEAMIENTO - SANEAMIENTO - SANEAMIENTO RURAL,23/03/2018,"1,576,645.08",150,SI,SI,24/04/2019,21/12/2023,"1,787,093.73",0.0,0.0,"1,787,093.73","1,787,093.73","1,576,512.83",88.2 %,"210,580.89",OCT-2019,DIC-2021,"1CONTRATACIÓN PARA LA EJECUCIÓN DE LA OBRA: CREACIÓN DEL SISTEMA DE AGUA POTABLE Y SANEAMIENTO EN LA COMUNIDAD NATIVA DE KOTSIMBA - DISTRITO DE INAMBARI - PROVINCIA DE TAMBOPATA - REGIÓN MADRE DE DIOSCONSORCIO KOTSIMBA29-2019-MPT-GM07/11/20191,280,537.001,280,537.00","1SERVICIO DE CONSULTORIA PARA LA ELBORACION DEL EXPEDIENTE TECNICO DEL PROYECTO ¿CREACION DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO  EN LA COMUNIDAD NATIVA DE KOTSIMBA, DISTRITO DE INAMBARI, PROVINCIA DE TAMBOPATA-MADRE  DE DIOS.ALVA INGENIEROS CONSTRUCTORES Y CONSULTORES S.A.C. - ALVA INGENIEROS S.A.C.CONTRATO N° 015-2019-MPT-GM03/06/201971,389.0071,389.00",,
2414957,2414957,30/07/2018,"MEJORAMIENTO DEL SERVICIO EDUCATIVO DE LOS NIVELES PRIMARIA Y SECUNDARIA EN LA I.E.B.R. ENAWIPA, DE LA COMUNIDAD NATIVA PALMA REAL DEL DISTRITO DE TAMBOPATA - PROVINCIA DE TAMBOPATA - DEPARTAMENTO DE MADRE DE DIOS",ACTIVO,PROYECTO DE INVERSION,NO,OPMI DEL GOBIERNO REGIONAL MADRE DE DIOS,AREA FUNCIONAL DE ESTUDIOS Y PROYECTOS - SEDE CENTRAL GOREMAD,UEI  GOBIERNO REGIONAL MADRE DE DIOS-SEDE CENTRAL,VIABLE,NO,EDUCACIÓN - EDUCACIÓN BÁSICA - EDUCACIÓN PRIMARIA,02/08/2018,"6,337,923.8",111,SI,SI,01/07/2021,30/03/2022,"15,457,273.8",0.0,0.0,"15,457,273.8","15,457,273.8","243,160.52",1.6 %,"15,214,113.28",AGO-2019,DIC-2020,,,,
2415699,2415699,23/06/2018,CREACION DE DEFENSA RIBEREÑA EN EL RIÓ APOYO DE SALVACION DEL DISTRITO DE MANU - PROVINCIA DE MANU - DEPARTAMENTO DE MADRE DE DIOS,ACTIVO,PROYECTO DE INVERSION,NO,OPMI DE LA MUNICIPALIDAD PROVINCIAL DE MANU,UF DE LA MUNICIPALIDAD PROVINCIAL DE MANU,UEI DE LA MUNICIPALIDAD PROVINCIAL DE MANU,VIABLE,NO,ORDEN PÚBLICO Y SEGURIDAD - GESTIÓN DE RIESGOS Y EMERGENCIAS - PREVENCIÓN DE DESASTRES,25/06/2018,"842,317.24","2,018",SI,SI,01/10/2019,31/01/2022,"1,385,467.01",0.0,0.0,"1,385,467.01","1,385,467.01","1,298,844.29",93.7 %,"86,622.71",SET-2019,DIC-2021,,,"1ADQUISICIÓN DE AVIONES DE TIPO CAJA PARA COLCHO Y ESTRUCTURAFREYSSINET TIERRA ARMADA PERU S.A.C. - TIERRA ARMADA S.A.C.36-2020-UA-MPM-MDD03/03/2020306,168.00306,168.00","1CONTRATACION PARA EL ALQUILER DE CAMION VOLQUETE DE 15 M3 (MAQUINA SERVIDA)CHACON PUELLES WILSON WILBERT174-2020-UA-MPM-MDD04/11/202055,050.0055,050.00"
2415704,2415704,23/06/2018,MEJORAMIENTO DE LA TRANSITABILIDAD PEATONAL EN EL SECTOR PROGRESO DE LA URBANIZACIÓN VISTA ALEGRE DE SALVACION DEL DISTRITO DE MANU - PROVINCIA DE MANU - DEPARTAMENTO DE MADRE DE DIOS,ACTIVO,PROYECTO DE INVERSION,NO,OPMI DE LA MUNICIPALIDAD PROVINCIAL DE MANU,UF DE LA MUNICIPALIDAD PROVINCIAL DE MANU,UEI DE LA MUNICIPALIDAD PROVINCIAL DE MANU,VIABLE,NO,TRANSPORTE - TRANSPORTE URBANO - VÍAS URBANAS,25/06/2018,"579,496.15","2,108",SI,SI,01/10/2019,31/01/2022,"1,359,197.9",0.0,0.0,"1,359,197.9","1,359,197.9","1,244,867.12",91.6 %,"114,330.77",JUN-2019,DIC-2021,,,"1ADQUISICION DE CEMENTO PORTLAND TIPO IP PARA LA META 015COMERCIAL B & R SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA-COMERCIAL B & R S.R.L.31-201924/12/2019253,790.00253,790.00",
