region,cui,nombre_pip,funcion,division_funcional,grupo_funcional,sector_responsable,brechas,opmi,uf,uei,uep,gps,departamento,provincia,distrito,centro_poblado
piura,2018641,REDIMENSIONAMIENTO DE LOS SERVICIOS DE SALUD DEL HOSPITAL DE APOYO III SULLANA,,,,,,OPMI DEL GOBIERNO REGIONAL PIURA,REGION PIURA-SEDE CENTRAL (PRESCTARPI - ROSA ISABEL OQUELIS CABREDO),UEI DE LA GOBIERNO REGIONAL PIURA - (UEIPI - MARTIN EDUARDO SAAVEDRA MORE),892 - REGION PIURA-SEDE CENTRAL,0,0,0,0,0
piura,2022037,CONSTRUCCION DE CARRETERA TAMBOGRANDE - KM. 21 DE LA VIA PIURA-CHULUCANAS,,,,,,OPMI DEL GOBIERNO REGIONAL PIURA,REGION PIURA-SEDE CENTRAL (UFGRPI004 - JORGE LUIS CASTILLO OJEDA),UEI DE LA GOBIERNO REGIONAL PIURA - (UEIGRPI021 - WILMER VISE RUIZ),892 - REGION PIURA-SEDE CENTRAL,0,0,0,0,0
piura,2022551,MEJORAMIENTO DE CARRETERA VECINAL 533-EMPALME-534-LA ISLILLA,TRANSPORTE,TRANSPORTE TERRESTRE,V÷AS VECINALES,TRANSPORTES Y COMUNICACIONES,"SERVICIO DE TRANSITABILIDAD VIAL INTERURBANA
                                
                                
                                    PORCENTAJE DE LA RED VIAL VECINAL POR PAVIMENTAR
                                
                                
                                    KM
                                
                                
                                    DEPARTAMENTAL
                                
                                
                                    15.6830",OPMI DEL GOBIERNO REGIONAL PIURA,REGION PIURA-SEDE CENTRAL (PRESCTARPI - ROSA ISABEL OQUELIS CABREDO),UEI DE LA GOBIERNO REGIONAL PIURA - (UEIPI - MARTIN EDUARDO SAAVEDRA MORE),892 - REGION PIURA-SEDE CENTRAL,-5.0877047699999590 / -81.11384459999994,PIURA,PAITA,PAITA,LA ISLILLA (CALERA)
piura,2025914,PAVIMENTACION DEL AH LOS FICUS II ETAPA,TRANSPORTE,TRANSPORTE URBANO,V÷AS URBANAS,"VIVIENDA, CONSTRUCCION Y SANEAMIENTO","SERVICIO DE MOVILIDAD URBANA
                                
                                
                                    PORCENTAJE DE LA POBLACI‡N URBANA SIN ACCESO A LOS SERVICIOS DE MOVILIDAD URBANA A TRAVêS DE PISTAS Y VEREDAS
                                
                                
                                    PERSONAS
                                
                                
                                    DISTRITAL
                                
                                
                                    1134",OPMI DE LA MUNICIPALIDAD DISTRITAL DE VEINTISEIS DE OCTUBRE,UF DE LA MUNICIPALIDAD DISTRITAL DE VEINTISEIS DE OCTUBRE (UFMDVOC1 - YURLY BARCO CORDOVA),UEI DE LA MUNICIPALIDAD DISTRITAL DE VEINTISEIS DE OCTUBRE - (UEIMDVOC - FELIPE SANCHEZ CUMBICUS),301849 - MUNICIPALIDAD DISTRITAL VEINTISEIS DE OCTUBRE,-5.1846378149999750 / -80.67019214499999,PIURA,PIURA,VEINTISEIS DE OCTUBRE,AH LOS FICUS II ETAPA
piura,2031690,MEJORAMIENTO Y AMPLIACI‡N DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO DEL DISTRITO DE IGNACIO ESCUDERO,SANEAMIENTO,SANEAMIENTO,SANEAMIENTO URBANO,"VIVIENDA, CONSTRUCCION Y SANEAMIENTO","SERVICIO DE ALCANTARILLADO
                                
                                
                                    PORCENTAJE DE LA POBLACI‡N URBANA SIN ACCESO A SERVICIOS DE ALCANTARILLADO U OTRAS FORMAS DE DISPOSICI‡N SANITARIA DE EXCRETAS
                                
                                
                                    PERSONAS
                                
                                
                                    DISTRITAL
                                
                                
                                    267153
                                
                            
                            
                                
                                    SERVICIO DE AGUA POTABLE
                                
                                
                                    PORCENTAJE DE LA POBLACI‡N URBANA SIN ACCESO AL SERVICIO DE AGUA POTABLE MEDIANTE RED PÈBLICA O PILETA PÈBLICA
                                
                                
                                    PERSONAS
                                
                                
                                    DISTRITAL
                                
                                
                                    181979",OPMI DEL GOBIERNO REGIONAL PIURA,GERENCIA SUB REGIONAL LUCIANO CASTILLO COLONNA (GRPIGLCC - MANUEL VERA BELTRAN),UEIPI-GSRLCC - (UEIGSRLCCCMM - CESAR AUGUSTO MONTALVAN MOZO),893 - REGION PIURA-GERENCIA LUCIANO CASTILLO COLONNA,-4.8453076799999610 / -80.87227379999996,PIURA,SULLANA,IGNACIO ESCUDERO,
piura,2033310,"CONSTRUCCION DE LAS VIAS COLECTORAS DEL DREN SAN JOSE URB. SANTA ROSA - SULLANA, PROVINCIA DE SULLANA - PIURA",,,,,,OPMI DE LA MUNICIPALIDAD PROVINCIAL DE SULLANA,UF DE LA MUNICIPALIDAD PROVINCIAL DE SULLANA (UFMPSLL1 - MARCO ZEGARRA RAMIREZ),UEI DE LA MUNICIPALIDAD PROVINCIAL DE SULLANA - (UEIMPSLL1 - ARTURO RAMOS RIVAS),301573 - MUNICIPALIDAD PROVINCIAL DE SULLANA,-4.89130259 / -80.688310,PIURA,SULLANA,SULLANA,
piura,2033737,"MEJORAMIENTO DE LOS SERVICIOS RECREACIONALES EN EL PARQUE ENTRE LAS CALLES SANTA EULALIA, LA VERONICA Y SAN JOSE DEL A.H. LAS MERCEDES, DISTRITO DE CASTILLA - PIURA - PIURA",AMBIENTE,GESTI‡N INTEGRAL DE LA CALIDAD AMBIENTAL,CONSERVACI‡N Y AMPLIACI‡N DE LAS µREAS VERDES Y ORNATO PÈBLICO,"VIVIENDA, CONSTRUCCION Y SANEAMIENTO","SERVICIO DE ESPACIOS PÈBLICOS VERDES
                                
                                
                                    PORCENTAJE DE M2 DE ESPACIOS PÈBLICOS VERDES EN ZONAS URBANAS POR IMPLEMENTAR
                                
                                
                                    M2
                                
                                
                                    DISTRITAL
                                
                                
                                    242.42",OPMI DE LA MUNICIPALIDAD DISTRITAL DE CASTILLA,UF DE LA MUNICIPALIDAD DISTRITAL DE CASTILLA (UFMDCTL001 - SILVIA LILIANA CALLE CALLE),UEI DE LA MUNICIPALIDAD DISTRITAL DE CASTILLA - (UEIMDCTL001 - ALEX ROBERTO YESQUEN GRANDA),301530 - MUNICIPALIDAD DISTRITAL DE CASTILLA,-5.2286547489554650 / -80.64083103769530,PIURA,PIURA,CASTILLA,LAS MERCEDES
piura,2036533,"MEJORAMIENTO DE CALLES DE URBANIZACION LA RIBERA  DE SECHURA, PROVINCIA DE SECHURA - PIURA",TRANSPORTE,TRANSPORTE URBANO,V÷AS URBANAS,"VIVIENDA, CONSTRUCCION Y SANEAMIENTO","SERVICIO DE MOVILIDAD URBANA
                                
                                
                                    PORCENTAJE DE LA POBLACI‡N URBANA SIN ACCESO A LOS SERVICIOS DE MOVILIDAD URBANA A TRAVêS DE PISTAS Y VEREDAS
                                
                                
                                    PERSONAS
                                
                                
                                    DISTRITAL
                                
                                
                                    991",OPMI DE LA MUNICIPALIDAD PROVINCIAL DE SECHURA,UF DE LA MUNICIPALIDAD PROVINCIAL DE SECHURA (UFMPSHR1 - SEGUNDO CELI BARRANZUELA),UEI DE LA MUNICIPALIDAD PROVINCIAL DE SECHURA - (UEIMPS3 - EDGARD ALEJANDRO PAREDES SILVA),301587 - MUNICIPALIDAD PROVINCIAL DE SECHURA,-5.5567214099999660 / -80.82299627999998,PIURA,SECHURA,SECHURA,URB. LA RIBERA
piura,2037729,"MEJORAMIENTO, Y REHABILITACION DE LA I.E. JOSE ILDEFONSO COLOMA LAS PALMERAS, DISTRITO DE MARCAVELICA-PROVINCIA DE SULLANA-PIURA",,,,,,OPMI DE LA MUNICIPALIDAD DISTRITAL DE MARCAVELICA,UF DE LA MUNICIPALIDAD DISTRITAL DE MARCAVELICA (UFMDMARCAV02 - MARIELA PAMELA OTOYA VALDEZ),UEIPI-GSRLCC - (UEIGSRLCCCMM - CESAR AUGUSTO MONTALVAN MOZO),893 - REGION PIURA-GERENCIA LUCIANO CASTILLO COLONNA,0,0,0,0,0
piura,2040186,MEJORAMIENTO DE RIEGO Y GENERACION HIDROENERGETICO DEL ALTO PIURA,AGROPECUARIA,RIEGO,INFRAESTRUCTURA DE RIEGO,AGRICULTURA Y RIEGO,"SERVICIO DE PROVISI‡N DE AGUA PARA RIEGO
                                
                                
                                    PORCENTAJE DE SUPERFICIE AGR÷COLA SIN RIEGO
                                
                                
                                    HA
                                
                                
                                    DEPARTAMENTAL
                                
                                
                                    19000
                                
                            
                            
                                
                                    SERVICIO DE PROVISI‡N DE AGUA PARA RIEGO
                                
                                
                                    PORCENTAJE DE SISTEMAS DE RIEGO QUE OPERAN EN CONDICIONES INADECUADAS
                                
                                
                                    SISTEMA DE RIEGO
                                
                                
                                    DEPARTAMENTAL
                                
                                
                                    10",OPMI DEL GOBIERNO REGIONAL PIURA,PROYECTO ESPECIAL DE IRRIGACION E HIDROENERGETICO DEL ALTO PIURA (UFPEIHAPMAP - MARCOS VARGAS PIZAN),PROYECTO ESPECIAL DE IRRIGACION E HIDROENERGETICO ALTO PIURA - (UEIPEIHAPRAS - REYNALDO ALMESTAR SAAVEDRA),-,-5.09648037 / -80.161510,PIURA,MORROPON,CHULUCANAS,
