codigo_unico,snip,fecha_registro,nombre_inversion,estado,tipo_inversion,programa_pmi,ompi,uf,uei,situacion,decreto_emergencia,cadena_funcional,viabilidad_aprobacion,costo_aprobado,beneficiarios,expediente_tecnico,reg_seguimiento,inicio_ejecucion,fin_ejecucion,inversion_actualizado,sol_controversias,carta_fianza,inver_total,costo_inversion,devengado_acumulado,avance_financiero_acum,saldo,fecha_primerdevengado,fecha_ultimodevengado,seaceobra,seaceconsul,seacebien,seaceserv
2018641,9637,03/05/2004,REDIMENSIONAMIENTO DE LOS SERVICIOS DE SALUD DEL HOSPITAL DE APOYO III SULLANA,CERRADO,PROYECTO DE INVERSION,NO,OPMI DEL GOBIERNO REGIONAL PIURA,REGION PIURA-SEDE CENTRAL,UEI DE LA GOBIERNO REGIONAL PIURA,VIABLE,NO,SALUD Y SANEAMIENTO - SALUD INDIVIDUAL - ATENCION MEDICA ESPECIALIZADA,22/04/2009,"80,136,974.00","42,429",SI,NO,,,"234,067,947.00",0.00,0.0,"234,067,947.00","234,067,947.00","3,694,444.21",1.6 %,"230,373,502.79",JUN-2012,JUN-2016,,,,
2022037,6704,22/08/2003,CONSTRUCCION DE CARRETERA TAMBOGRANDE - KM. 21 DE LA VIA PIURA-CHULUCANAS,ACTIVO,PROYECTO DE INVERSION,NO,OPMI DEL GOBIERNO REGIONAL PIURA,REGION PIURA-SEDE CENTRAL,UEI DE LA GOBIERNO REGIONAL PIURA,VIABLE,NO,TRANSPORTE - TRANSPORTE TERRESTRE - CONSTRUCCION Y MEJORAMIENTO DE CARRETERAS,22/07/2009,"59,275,445.00","598,040",SI,SI,,,"85,717,955.00","3,848,566.52",0.0,"89,566,521.52","89,566,521.52","84,544,497.3",94.4 %,"5,022,024.21",ABR-2010,DIC-2016,,,,
2022551,10563,26/06/2004,MEJORAMIENTO DE CARRETERA VECINAL 533-EMPALME-534-LA ISLILLA,ACTIVO,PROYECTO DE INVERSION,SI,OPMI DEL GOBIERNO REGIONAL PIURA,REGION PIURA-SEDE CENTRAL,UEI DE LA GOBIERNO REGIONAL PIURA,VIABLE,NO,TRANSPORTE - TRANSPORTE TERRESTRE - CONSTRUCCION Y MEJORAMIENTO DE CARRETERAS,21/07/2009,"9,388,350.00","1,826",SI,SI,07/12/2009,03/03/2023,"55,479,849.18",0.00,0.0,"55,479,849.18","55,479,849.18","44,076,971.1",79.4 %,"11,402,878.07",MAR-2010,NOV-2021,"1CONTRATACIÓN PARA LA EJECUCIÓN DEL SALDO DE OBRA DEL PIP: ""MEJORAMIENTO DE LA CARRETERA VECINAL 533 - EMPALME - 534 - LA ISLILLA"" CON CÓDIGO SNIP N° 10563, BAJO EL MARCO DE LA LEY N° 30556.CONSORCIO VIAL PIURA28-2018-GR08/06/201833,590,253.0033,590,253.00","1CONTRATACIÓN DEL SERVICIO DE CONSULTORÍA PARA LA SUPERVISIÓN DE LA EJECUCIÓN DEL SALDO DE OBRA DEL PIP: ""MEJORAMIENTO DE LA CARRETERA VECINAL 533 - EMP. 534 - LA ISLILLA "" CON CODIGO UNIFICADO No 2022551, BAJO EL MARCO DE LA LEY No 30556CONSORCIO LA ISLILLA72-201803/10/20181,515,707.001,515,707.001contratacion del servicio de consultoria para la elaboracion de analisis de ruta y de vulnerabilidad y de expediente tecnico  definitivo del saldo de obra del pip mejoramiento de carretera vecinal 533 empalme 534 la islillaCONSORCIO LA ISLILLA115-201603/11/2016540,000.00540,000.00",,
2025914,18849,24/05/2005,PAVIMENTACION DEL AH LOS FICUS II ETAPA,ACTIVO,PROYECTO DE INVERSION,NO,OPMI DE LA MUNICIPALIDAD DISTRITAL DE VEINTISEIS DE OCTUBRE,UF DE LA MUNICIPALIDAD DISTRITAL DE VEINTISEIS DE OCTUBRE,UEI DE LA MUNICIPALIDAD DISTRITAL DE VEINTISEIS DE OCTUBRE,VIABLE,NO,TRANSPORTE - TRANSPORTE METROPOLITANO - VIAS URBANAS,20/06/2005,"828,286.00","1,134",SI,SI,12/05/2018,25/11/2019,"842,141.15",0.00,0.0,"842,141.15","842,141.15","842,141.15",100 %,0.00,JUN-2007,AGO-2020,"1EJECUCION DE LA OBRA: PAVIMENTACION DEL AA.HH. LOS FICUS II ETAPACONSORCIO FICUS IICONTRATO N°06-2019-MDVO11/06/2019441,963.00441,963.00",,,
2030755,1960,31/03/2002,AMPLIACIÓN Y MEJORAMIENTO DE LOS SISTEMAS DE AGUA POTABLE Y ALCANTARILLADO DE LA ARENA - PIURA,ACTIVO,PROYECTO DE INVERSION,SI,OPMI DEL GOBIERNO REGIONAL PIURA,REGION PIURA-SEDE CENTRAL,UEI DE LA GOBIERNO REGIONAL PIURA,VIABLE,NO,SALUD Y SANEAMIENTO - SANEAMIENTO - SANEAMIENTO GENERAL,19/06/2007,"16,291,365.00","17,656",SI,SI,12/01/2012,03/03/2024,"19,788,109.64","4,780,384.08",0.0,"24,568,493.72","24,568,493.72","22,497,248.56",91.6 %,"2,071,245.16",ENE-2008,DIC-2019,,,,"1CONTRATACION DEL SERVICIO DE PERITAJE TECNICO A LA OBRA AMPLIACION Y MANTENIMIENTO DE LOS SISTEMAS DE AGUA POTABLE Y ALCANTARILLADO DE LA ARENA PIURA CON CODIGO SNIP N 1960COLEGIO INGS PERU CONSEJO DPTAL DE PIURANo 81-2017-GR25/10/201790,000.0090,000.00"
2031000,14583,17/12/2004,AFIANZAMIENTO DEL RESERVORIO POECHOS - SISTEMA HIDRAULICO CHIRA - PIURA,ACTIVO,PROYECTO DE INVERSION,SI,OPMI DEL GOBIERNO REGIONAL PIURA,REGION PIURA-SEDE CENTRAL,CHIRA PIURA,VIABLE,NO,AGRARIA - PROMOCION DE LA PRODUCCION AGRARIA - IRRIGACION,05/04/2017,"143,195,125.00","1,130,964",SI,SI,19/06/2017,31/12/2023,"204,791,245.8",0.00,0.0,"204,791,245.8","204,791,245.8","137,956,516.15",67.4 %,"66,834,729.65",AGO-2017,MAY-2021,"1Ejecución de la Obra: Afianzamiento del Reservorio Poechos Sistema Hidráulico Chira PiuraCONSORCIO HIDRAULICO POECHOS020-2017-GRP-PECHP20/12/2017139,634,367.00139,634,367.00","1Contratación del Servicio de Consultoría de Obra para la Supervisión de la Elaboración del Expediente Técnico ¿Afianzamiento del Reservorio Poechos ¿ Sistema Hidráulico Chira Piura II Etapa¿NORPERUANA DE INGENIEROS S.A.C.222/01/2021282,378.00282,378.001ELABORACION DEL EXPEDIENTE TECNICO AFIANZAMIENTO DEL RESERVORIO POECHOS  SISTEMA HIDRAULICO CHIRA PIURA II ETAPACHANGJIANG INSTITUTE OF SURVEY, PLANNING, DESIGN AND RESEARCH SUCURSAL DEL PERU1417/12/20201,784,535.001,784,535.001SERVICIO DE CONSULTORIA PARA LA SUPERVISION DE LA OBRA ""AFIANZAMIENTO DEL RESERVORIO POECHOS - SISTEMA HIDRAULICO CHIRA PIURA - PRIMERA ETAPA""CONSORCIO ACCIONA - HC&A004-2018 GRP-PECHP-40600012/02/20184,732,349.004,732,349.001Estudio Final a nivel de Expediente Técnico para el Afianzamiento del Reservorio Poechos Sistema Hidráulico Chira PiuraSERVICIOS DE INGENIERIA S A SISA005/2017 GRP-PECHP-40600018/07/20172,562,181.002,562,181.00",,"1contratación del Servicio de Supervisión de la Elaboración del Estudio Definitivo a Nivel de Expediente Técnico Afianzamiento del Reservorio Poechos  Sistema Hidráulico Chira Piura Sobreelevación del Nivel de Operación de 103  106HC & ASOCIADOS S.R.L.007-2017-GRP-PECHP-40600020/09/2017289,100.00289,100.00"
2031191,19093,30/05/2005,CONSTRUCCIÓN DE INFRAESTRUCTURA DE LA INSTITUCIÓN EDUCATIVA NUESTRA SEÑORA DE LAS MERCEDES DEL DISTRITO DE PAITA,CERRADO,PROYECTO DE INVERSION,NO,OPMI DEL GOBIERNO REGIONAL PIURA,REGION PIURA-SEDE CENTRAL,UEI DE LA GOBIERNO REGIONAL PIURA,VIABLE,NO,EDUCACION Y CULTURA - INFRAESTRUCTURA EDUCATIVA - EDIFICACIONES ESCOLARES,25/02/2008,"9,216,067.00","28,126",SI,NO,,,"12,558,198.49",0.00,0.0,"12,558,198.49","12,558,198.49","11,727,536.17",93.4 %,"830,662.32",DIC-2009,SET-2018,"1Contratación de la Ejecución de la Obra: ¿Construcción de Infraestructura de la Institución Educativa Nuestra Señora de las Mercedes del Distrito de Paita¿. Meta: ¿Instalación de Protectores Solares en la I.E. Nuestra Señora de las Mercedes, DistritoCONSORCIO LAS MERCEDES1223/03/2018325,438.00325,438.00",,,
2031690,333,17/09/2001,MEJORAMIENTO Y AMPLIACIÓN DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO DEL DISTRITO DE IGNACIO ESCUDERO,ACTIVO,PROYECTO DE INVERSION,NO,OPMI DEL GOBIERNO REGIONAL PIURA,GERENCIA SUB REGIONAL LUCIANO CASTILLO COLONNA,UEIPI-GSRLCC,VIABLE,NO,SALUD Y SANEAMIENTO - SANEAMIENTO - SANEAMIENTO GENERAL,20/06/2007,"11,257,528.00","17,556",SI,SI,01/06/2008,01/09/2016,"12,802,219.67",0.00,0.0,"12,802,219.67","12,802,219.67","12,750,020.67",99.6 %,"52,199.00",FEB-2008,DIC-2013,,,,
2033310,34420,09/06/2006,"CONSTRUCCION DE LAS VIAS COLECTORAS DEL DREN SAN JOSE URB. SANTA ROSA - SULLANA, PROVINCIA DE SULLANA - PIURA",ACTIVO,PROYECTO DE INVERSION,NO,OPMI DE LA MUNICIPALIDAD PROVINCIAL DE SULLANA,UF DE LA MUNICIPALIDAD PROVINCIAL DE SULLANA,UEI DE LA MUNICIPALIDAD PROVINCIAL DE SULLANA,VIABLE,NO,VIVIENDA Y DESARROLLO URBANO - DESARROLLO URBANO - PLANEAMIENTO URBANO,02/10/2007,"3,496,895.00","2,609",SI,SI,01/01/2014,30/04/2018,"6,987,263.07",0.00,0.0,"6,987,263.07","6,987,263.07","6,814,502.49",97.5 %,"172,760.58",OCT-2008,OCT-2019,"1CONTRATACION DE LA EJECUCION DE LA OBRA: CONSTRUCCI&ÚN DE LAS VIAS COLECTORAS DEL DREN SAN JOSÉ URB. SANTA ROSA-DISTRITO DE SULLANA-PROVINCIA DE SULLANA-PIURA VI ETAPA-CODIGO SNIP N 34420.CONSORCIO SANTA ROSA I CONTRATO 019-2016-MPS-GAJ22/08/20164,775,834.004,775,834.00","1CONSULTORIA PARA LA SUPERVISION DE EJECUCION DE OBRA: CONSTRUCCION DE LAS VIAS COLECTORAS DEL DREN SAN JOSE URB. SANTA ROSA-DISTRITO DE SULLANA, PROVINCIA DE SULLANA-PIURA, VI ETAPA-CODIGO SNIP N 344CONSORCIO SAN JOSECONTRATO 021-2016-MPS-GAJ29/08/2016100,000.00100,000.00",,
2033737,30899,21/03/2006,"MEJORAMIENTO DE LOS SERVICIOS RECREACIONALES EN EL PARQUE ENTRE LAS CALLES SANTA EULALIA, LA VERONICA Y SAN JOSE DEL A.H. LAS MERCEDES, DISTRITO DE CASTILLA - PIURA - PIURA",ACTIVO,PROYECTO DE INVERSION,SI,OPMI DE LA MUNICIPALIDAD DISTRITAL DE CASTILLA,UF DE LA MUNICIPALIDAD DISTRITAL DE CASTILLA,UEI DE LA MUNICIPALIDAD DISTRITAL DE CASTILLA,VIABLE,NO,SALUD Y SANEAMIENTO - PROTECCION DEL MEDIO AMBIENTE - PARQUES Y JARDINES,26/09/2016,"367,348.00","2,852",SI,SI,04/06/2019,29/10/2024,"404,812.21",0.00,0.0,"404,812.21","404,812.21","366,692.18",90.6 %,"38,120.03",OCT-2007,JUL-2021,"1MEJORAMIENTO DE LOS SERVICIOS RECREACIONALES EN EL PARQUE ENTRE LAS CALLES SANTA EULALIA, LA VERÓNICA Y SAN JOSE DEL A.H. LAS MERCEDES, DISTRITO DE CASTILLA - PIURA - PIURA-CÓDIGO UNIFICADO 2033737CONSORCIO LOS FICUS II015-2019-MDC10/09/2019333,191.00333,191.00",,,
